"DataExtractDate","ReportPeriod","Arrival_Departure","Domestic_International","CargoType","AirCargoTons"
"2021 Apr 09 10:34:29 AM","Sep 2020","Arrival","International","Freight","86,595"
"2021 Apr 09 10:34:29 AM","Feb 2021","Arrival","International","Freight","78,931"
"2021 Apr 09 10:34:29 AM","Aug 2020","Arrival","International","Freight","81,369"
"2021 Apr 09 10:34:29 AM","Jan 2021","Arrival","International","Freight","82,958"
"2021 Apr 09 10:34:29 AM","Nov 2020","Arrival","International","Freight","96,096"
"2021 May 27 03:16:34 PM","Apr 2021","Arrival","International","Mail","921"
"2021 May 27 03:16:34 PM","Apr 2021","Arrival","Domestic","Mail","3,197"
"2021 May 03 03:08:02 PM","Mar 2021","Arrival","International","Freight","100,358"
"2021 May 27 03:16:34 PM","Apr 2021","Departure","Domestic","Freight","40,285"
"2021 Apr 10 06:01:03 AM","Mar 2021","Departure","Domestic","Freight","43,444"
"2021 Jun 09 09:21:54 AM","Apr 2021","Arrival","International","Freight","97,048"
"2021 May 03 03:08:02 PM","Mar 2021","Departure","International","Freight","66,254"
"2021 Jun 09 09:21:54 AM","Apr 2021","Departure","International","Freight","60,458"
"2021 May 03 03:08:02 PM","Mar 2021","Arrival","International","Mail","913"
"2021 May 27 03:16:34 PM","Apr 2021","Arrival","Domestic","Freight","43,368"
"2021 May 27 03:16:34 PM","Apr 2021","Departure","International","Mail","412"
"2021 May 27 03:16:34 PM","Apr 2021","Departure","Domestic","Mail","5,468"
"2021 May 03 03:08:02 PM","Mar 2021","Departure","International","Mail","403"
"2021 May 03 03:08:02 PM","Mar 2021","Departure","Domestic","Mail","5,677"
"2021 Apr 10 06:01:03 AM","Mar 2021","Arrival","Domestic","Freight","44,001"
"2021 May 03 03:08:02 PM","Mar 2021","Arrival","Domestic","Mail","3,578"
"2022 Jun 01 12:00:23 AM","Apr 2022","Departure","Domestic","Freight","36,156"
"2021 Dec 01 12:00:21 AM","Oct 2021","Arrival","Domestic","Mail","5,637"
"2021 Dec 01 12:00:21 AM","Oct 2021","Departure","Domestic","Mail","4,929"
"2021 Jun 29 10:06:21 AM","May 2021","Arrival","Domestic","Mail","3,664"
"2021 Jun 29 10:06:21 AM","May 2021","Departure","Domestic","Freight","40,988"
"2021 Jun 29 10:06:21 AM","May 2021","Arrival","Domestic","Freight","45,657"
"2021 Nov 10 06:01:08 AM","Sep 2021","Departure","International","Freight","56,453"
"2021 Jun 29 10:06:21 AM","May 2021","Departure","Domestic","Mail","5,231"
"2021 Aug 01 12:00:23 AM","May 2021","Departure","International","Mail","445"
"2021 Aug 01 12:00:23 AM","Jun 2021","Arrival","International","Freight","93,511"
"2021 Aug 01 12:00:23 AM","May 2021","Arrival","International","Freight","99,065"
"2021 Aug 01 12:00:23 AM","May 2021","Departure","International","Freight","64,024"
"2021 Aug 01 12:00:23 AM","Jun 2021","Arrival","Domestic","Freight","45,132"
"2021 Aug 01 12:00:23 AM","Jun 2021","Departure","International","Freight","60,486"
"2021 Aug 01 12:00:23 AM","Jun 2021","Arrival","International","Mail","863"
"2021 Aug 01 12:00:23 AM","Jun 2021","Departure","International","Mail","397"
"2021 Aug 01 12:00:23 AM","Jun 2021","Departure","Domestic","Mail","4,563"
"2021 Aug 01 12:00:23 AM","Jun 2021","Departure","Domestic","Freight","39,269"
"2021 Aug 01 12:00:23 AM","Jun 2021","Arrival","Domestic","Mail","2,604"
"2021 Aug 01 12:00:23 AM","May 2021","Arrival","International","Mail","892"
"2021 Aug 30 11:09:52 AM","Jul 2021","Arrival","International","Mail","811"
"2021 Aug 30 11:09:52 AM","Jul 2021","Departure","International","Mail","737"
"2021 Aug 30 11:09:52 AM","Jul 2021","Departure","Domestic","Freight","39,746"
"2021 Aug 30 11:09:52 AM","Jul 2021","Arrival","Domestic","Mail","3,359"
"2021 Aug 30 11:09:52 AM","Jul 2021","Departure","International","Freight","61,597"
"2021 Aug 30 11:09:52 AM","Jul 2021","Arrival","Domestic","Freight","46,463"
"2021 Aug 30 11:09:52 AM","Jul 2021","Departure","Domestic","Mail","6,811"
"2021 Aug 30 11:09:52 AM","Jul 2021","Arrival","International","Freight","92,346"
"2021 Sep 29 09:09:13 AM","Aug 2021","Arrival","Domestic","Mail","2,865"
"2021 Sep 29 09:09:13 AM","Aug 2021","Departure","International","Freight","59,817"
"2021 Sep 29 09:09:13 AM","Aug 2021","Departure","Domestic","Freight","40,216"
"2021 Sep 29 09:09:13 AM","Aug 2021","Arrival","International","Mail","774"
"2021 Sep 29 09:09:13 AM","Aug 2021","Departure","Domestic","Mail","5,289"
"2021 Sep 29 09:09:13 AM","Aug 2021","Arrival","Domestic","Freight","44,227"
"2021 Sep 29 09:09:13 AM","Aug 2021","Arrival","International","Freight","92,355"
"2021 Sep 29 09:09:13 AM","Aug 2021","Departure","International","Mail","361"
"2021 Nov 01 12:00:16 AM","Sep 2021","Arrival","International","Freight","95,079"
"2021 Nov 01 12:00:16 AM","Sep 2021","Arrival","International","Mail","643"
"2022 Mar 01 12:00:19 AM","Jan 2022","Arrival","Domestic","Mail","3,216"
"2021 Nov 01 12:00:16 AM","Sep 2021","Departure","Domestic","Mail","5,670"
"2022 Jun 01 12:00:23 AM","Apr 2022","Departure","Domestic","Mail","5,713"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","Domestic","Freight","26,777"
"2021 Nov 01 12:00:16 AM","Sep 2021","Arrival","Domestic","Mail","3,302"
"2021 Nov 01 12:00:16 AM","Sep 2021","Departure","International","Mail","332"
"2021 Dec 01 12:00:21 AM","Oct 2021","Arrival","International","Mail","695"
"2021 Dec 01 12:00:21 AM","Oct 2021","Departure","International","Mail","1,182"
"2022 Jun 01 12:00:23 AM","Apr 2022","Arrival","Domestic","Freight","39,375"
"2022 Jun 01 12:00:23 AM","Apr 2022","Arrival","Domestic","Mail","3,424"
"2022 Jun 01 12:00:23 AM","Apr 2022","Arrival","International","Mail","693"
"2022 Jun 01 12:00:23 AM","Apr 2022","Departure","International","Mail","356"
"2022 Jan 01 12:00:11 AM","Nov 2021","Departure","Domestic","Mail","5,814"
"2022 Jan 01 12:00:11 AM","Nov 2021","Departure","International","Mail","517"
"2022 Jan 01 12:00:11 AM","Nov 2021","Arrival","International","Mail","720"
"2022 Jan 01 12:00:11 AM","Nov 2021","Arrival","Domestic","Mail","3,340"
"2022 Mar 01 12:00:19 AM","Jan 2022","Departure","Domestic","Mail","5,151"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","International","Freight","73,346"
"2022 Mar 01 12:00:19 AM","Jan 2022","Departure","International","Mail","611"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","International","Mail","648"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","Domestic","Freight","29,992"
"2022 Mar 01 12:00:19 AM","Jan 2022","Arrival","International","Mail","783"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","Domestic","Mail","4,622"
"2022 Aug 30 11:02:17 AM","Jun 2022","Departure","International","Mail","544"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","International","Freight","46,484"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","International","Mail","330"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","Domestic","Mail","3,374"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","International","Mail","719"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","Domestic","Freight","32,282"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","Domestic","Freight","36,637"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","Domestic","Mail","2,575"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","International","Mail","431"
"2023 Oct 01 12:00:24 AM","Aug 2023","Arrival","International","Freight","79,668"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","Domestic","Mail","1,850"
"2022 Aug 30 11:02:17 AM","Jun 2022","Arrival","International","Mail","640"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","Domestic","Mail","3,504"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","International","Mail","476"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","Domestic","Mail","5,309"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","Domestic","Mail","5,243"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","Domestic","Freight","32,666"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","International","Mail","666"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","Domestic","Freight","33,937"
"2023 Jun 10 06:01:11 AM","Apr 2023","Arrival","Domestic","Freight","31,482"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","Domestic","Mail","3,072"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","International","Mail","435"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","International","Mail","796"
"2023 Jun 10 06:01:11 AM","Apr 2023","Departure","Domestic","Mail","3,406"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","Domestic","Mail","3,064"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","International","Mail","422"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","Domestic","Freight","34,771"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","International","Mail","794"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","Domestic","Freight","31,846"
"2023 Oct 01 12:00:24 AM","Aug 2023","Departure","Domestic","Mail","3,196"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","Domestic","Mail","5,374"
"2022 Dec 01 12:00:35 AM","Oct 2022","Departure","International","Mail","478"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","Domestic","Freight","32,106"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","Domestic","Freight","32,555"
